text,Sentiment,Score
b'RT @Windows: Time is yours to command with the new Timeline feature in #Windows10. Go back and forth between your activities earlier that d\\u2026',positive,0.034795587713068184
"b""@Windows I haven't had the flickering problem for a couple days and just now updated the drivers so hopefully it wo\\u2026 https://t.co/hL9klPEzs2""",positive,0.04261363636363636
b'@Leviathanprym @Windows You\\u2019ve had control over updates for over 15 years. People made a mess of it. Now it\\u2019s more\\u2026 https://t.co/s4ZCKcxNCa',negative,-0.020720587584117805
"b'RT @Windows: .@ASUS had a busy day at #Computex2018, showing new ZenBooks, VivoBooks, and #ROG gaming PCs. See the details here: https://t.\\u2026'",positive,0.0354427108541131
"b'@Windows I managed to get it to stop, thanks for offering help though'",positive,0.04975237165178571
b'Is it the association with @Chiefs or @Windows 95 that is killing \\u201cSMU\\u201d or is \\u201cSftD\\u201d just a better song? https://t.co/od8UoZsqbj',positive,0.0553529527452257
b'RT @mobiplayer: @pattithepotato @DynamicWebPaige @Microsoft @ubuntu @TensorFlow @scikit_learn @ApacheSpark @code @ProjectJupyter @VisualStu\\u2026',netural,0.0
b'@RealJack #AprilRyan is such a biased POS \\U0001f4a9 How does she keep her press credentials? especially for #WhiteHouse bri\\u2026 https://t.co/IGKrNVdrP9',positive,0.005014246160333807
"b'RT @AndrewM30749509: #realDonaldTrump sincerely from a concerned American go fuck your self, fuck your self so damn hard you implode and ce\\u2026'",negative,-0.023750813406271238
"b'#QUpdate\\n\\n2623-2638 [+294-11]:\\nPak Yong Sik, Ri Myong Su &amp; Kim Jong Gak; North Korea; Fired\\n4 x #Thomson #Reuters;\\u2026 https://t.co/8p3bqzRely'",positive,0.0016190378289473685
b'@GOP #GOP #Trump_Regrets #TrumpLeaks @realDonaldTrump  #realDonaldTrump #TheResistance #ImpeachTrump\\u2026 https://t.co/SYjtaidSVW',netural,0.0
b'RT @FreelsCl: #realDonaldTrump #theGreatAwakening #KAG https://t.co/TZdU5KNV3t',netural,0.0
b'#Cemex #AZ #McStain #WeDontSayHisName #Qanon #Military #Marines #Army #navy #AirForce #realDonaldtrump #Qanon\\u2026 https://t.co/kQnrZomfdR',negative,-0.002403846153846154
b'Let #realDonaldTrump fuck that league up instead of the NFL!\\n#Trump https://t.co/5QW8KddhZm',negative,-0.0009765625
b'RT @EdwinLo31339753: Wise lady our #PressSec a Warrior of God ! #GodblessAmerica #realDonaldTrump #TeamErinCruz #ErinCruzForUSSenateCA #MAG\\u2026',positive,0.00390625
"b""#realDonaldTrump IS the greatest President for jobs that God ever created!\\nTrump's Economy Delivers Historic 6.7 Mi\\u2026 https://t.co/cOkEXGq9tK""",positive,0.041399442232572116
b'RT @EdwinLo31339753: The #CEO of the White House call it off !!! \\U0001f92a\\U0001f92a\\U0001f92a you scumbags cockroaches . Respect America . #GodBlessAmerica #realDon\\u2026',positive,0.030339588488762576
b'RT @TakebkUS: This is horrible. I am sick of the corrupt crap in Calif. I lived there 30 years and had to get the fruck out of there! VOTE\\u2026',negative,-0.0421572531692315
b'#RealDonaldtRump hates #JeffSessions but Sessions is still doing #tRump dirty work. He shld love Jeff',negative,-0.01929265802556818
b'RT @EdwinLo31339753: The ignorant fool just got nailed by the #PressSec a minute a go ! Look \\U0001f440 it up \\U0001f602\\U0001f602\\U0001f602 #GodBlessAmerica #realDonaldTrump\\u2026',positive,0.004148085372435162
"b'Binge read the 7 Curses of London, starting with LOVING THE HAWKE #99cents  A wallflower and a war hero... \\n#Kindle\\u2026 https://t.co/27svVe3h4G'",positive,0.0094451904296875
"b'""March 2017"" https://t.co/W8tuvNV6Ff #Ai #MachineLearning #Google #ArtificialIntelligence https://t.co/7mJoU0JpEN'",negative,-0.002232142857142857
"b'RT @operbet: #Google PageSpeed Insights donne la moyenne des performances d\'un site, via la commande site: (""site deux points"") \\U0001f62e (thanks .\\u2026'",positive,0.006795546587775736
"b""RT @ahrefs: #AhrefsFacts: Our crawler is second most active only after #Google's. It outperforms Bing, Yandex and Yahoo! https://t.co/4ke0u\\u2026""",negative,-0.0390167236328125
b'RT @ContainerBlog: Latest post: Google Reaches Out to Kubernetes Developers with Skaffold\\xa0Release https://t.co/DRNRFVBihQ #containerjournal\\u2026',positive,0.010721842447916666
b'RT @CompareGadgets: Google\\u2019s Pixel and Nexus devices are all set to receive the June security patch that is rolling out at the moment. The\\u2026',positive,0.018364962763511218
b'Latest post: Google Reaches Out to Kubernetes Developers with Skaffold\\xa0Release https://t.co/DRNRFVBihQ\\u2026 https://t.co/9SXSCijDn3',positive,0.0128662109375
"b'Important security updates for Chrome and Firefox: ""The data could be extracted through what\\u2019s known as a side-chan\\u2026 https://t.co/fbCG4UBwAV'",positive,0.07188720703125
"b""Try #Google's #keyword planner: You must sign up for #AdWords to use it but it is still FREE. https://t.co/6pTJGbufh0""",negative,-0.015625
b'RT @WarBaeFr: \\U0001f381 #CONCOURS #GOOGLE #PLAY \\U0001f381\\n\\n\\U0001f4b3 GAGNE UNE CARTE CADEAU GOOGLE PLAY AL\\xc9ATOIRE\\n\\n\\U0001f4db #RT + #Follow \\n\\u27a1@WarBaeFr\\n\\u27a1Tag un ami (obligat\\u2026',positive,0.0038989393247498404
b'Hoja de c\\xe1lculo #google con enlace a formulario con campo relleno de alumnos para #coevaluaci\\xf3n\\u2026 https://t.co/fwND4W9Yr6',netural,0.0
b'#traffic #marketing #PrettyNeat #affiliate #tactics #tactic #affiliates #Amazon #promote #freedom #products #choice\\u2026 https://t.co/VltFYFGGGE',positive,0.05228365384615385
b'#Google acquisition aims to simplify #bigdata projects: https://t.co/UmPnUdgK6V https://t.co/BOMVLjBMA1',positive,0.009765625
"b'A newest app Datally, is launched by Google that helps to control the mobile data usage on smartphones to get more\\u2026 https://t.co/tdre4QWSKc'",positive,0.014796549959170919
b'V\\xeddeo que detalla como usar Google Trends (buscar palabras claves) paso a paso. #Google #MarketingDigital\\u2026 https://t.co/QaBUQ2SH0U',netural,0.0
b'@NicoleStillger @SaskMorningNews Awwww!!! Cute!!!',positive,0.1015625
"b'RT @NicoleStillger: Up next: Angela Seto, Co-owner of @ThreeForagers is here to talk about the state of the bee population \\U0001f41d #yxe #sask @Sa\\u2026'",positive,0.0030691964285714285
b'Coming up Wednesday on @SaskMorningNews: \\n- 6:55 am local sports highlights\\n- 7:25 am Councillor @CynthiaBlockSk \\n-\\u2026 https://t.co/R2N3nQCIah',positive,0.006511257754431831
b'RT @SaskMorningNews: New excursion train highlights Saskatchewan culture - @NicoleStillger #YXE #Sask https://t.co/1zWFrtwILL',positive,0.006261189778645833
b'Man alive are these little ones cute! Im back 8:30 from the Meerkat House at the zoo! Dawn Woroniuk joins me again\\u2026 https://t.co/O1zAo53NZW',positive,0.025530133928571428
b'RT @SaskMorningNews: New excursion train highlights Saskatchewan culture - @NicoleStillger #YXE #Sask https://t.co/1zWFrtwILL',positive,0.006261189778645833
"b""RT @FionaOdlum: BOOM! It's Tuesday!\\n\\nDay: A mix of sun and cloud, slight chance of rain this morning. High 21.\\nNight: Partly cloudy, light\\u2026""",positive,0.0069948084214154415
b'RT @AdamMacVicar: JUST IN: MMIW inquiry granted 6-month extension. #yxe #sask @SaskMorningNews https://t.co/QGMNncY2Pf',positive,0.019176136363636364
